beer_name,brewery,style,abv,rating,num_ratings
Citra Pale Ale,Hill Farmstead Brewery,American Pale Ale (APA),5.4,4.43,1005
Sump Coffee Stout,Perennial Artisan Ales,American Double / Imperial Stout,10.5,4.42,1592
Dialed In (w/ Sauvignon Blanc Juice),Trillium Brewing Company,American Double / Imperial IPA,8.5,4.44,730
Hop Venom Double IPA,Boneyard Beer Company,American Double / Imperial IPA,8.9,4.43,971
Cantillon Vigneronne,Brasserie Cantillon,Lambic - Fruit,5,4.42,1403
Exponential Hoppiness,Alpine Beer Company,American Double / Imperial IPA,11,4.42,1316
Péché Mortel En Fût De Bourbon Américain,Brasserie Dieu du Ciel!,American Double / Imperial Stout,9.5,4.45,531
Oro Negro,Jackie O's Pub & Brewery,American Double / Imperial Stout,10,4.43,872
B-Bomb (Bourbon Abominable Winter Ale),Fremont Brewing Company,American Strong Ale,14,4.42,1177
Coolship Resurgam,Allagash Brewing Company,American Wild Ale,6.3,4.43,799
Double Dry Hopped Scaled,Trillium Brewing Company,American IPA,7,4.43,799
Mélange No. 3,The Bruery,American Strong Ale,16.3,4.41,1955
Dreadnaught IPA,3 Floyds Brewing Co.,American Double / Imperial IPA,9.5,4.4,6061
Yellow Rose,The Lone Pint Brewery,American IPA,6.8,4.41,1797
Barrel Aged Double Shot Double Black,Bent Paddle Brewing Co.,American Black Ale,11.2,4.51,234
The Streets,Trillium Brewing Company,American Double / Imperial IPA,10,4.47,357
Fundamental Summation,Bottle Logic Brewing,American Double / Imperial Stout,13,4.58,145
Kentucky Christmas Morning,Hardywood Park Craft Brewery,Milk / Sweet Stout,10.6,4.47,351
Trickery,Hardywood Park Craft Brewery,Milk / Sweet Stout,13.5,4.45,473
M-43 NE India Pale Ale,Old Nation Brewing Co.,American IPA,6.8,4.44,573
Rue D'Floyd,The Bruery,American Porter,14.4,4.43,721
Master Of Karate,Aslin Beer Company,American Double / Imperial IPA,8.4,4.47,340
Mexican Cake,Westbrook Brewing Co.,American Double / Imperial Stout,10.5,4.4,2860
Leon,Cigar City Brewing,English Barleywine,13,4.44,542
Drie Fonteinen Oude Geuze,Brouwerij 3 Fonteinen,Gueuze,6,4.4,2837
Citra Showers,Noble Ale Works,American Double / Imperial IPA,8.8,4.44,537
Born Yesterday Pale Ale,Lagunitas Brewing Company,American Pale Ale (APA),7.2,4.4,2553
